Driver,Team,LapNumber,Position,Compound,TyreLife,Stint,TrackStatus,LapTimeSeconds,PitLap,PitNextLap,LapsRemaining,RaceProgress,AvgPaceLast3,AvgPaceLast5,AvgPaceLast10,DegradationRate,CurrentStintLength,PitStopsCompleted,Season,Race
ALB,Williams,28.0,13.0,MEDIUM,28.0,1.0,1,97.694,0,0,34.0,0.45161290322580644,98.42233333333333,98.37639999999999,98.4299,-0.682399999999987,27.0,0,2025,Pre-Season Testing
ALB,Williams,29.0,13.0,MEDIUM,29.0,1.0,1,97.84,0,0,33.0,0.46774193548387094,97.91466666666668,98.2164,98.375,-0.37639999999998963,28.0,0,2025,Pre-Season Testing
ALB,Williams,30.0,13.0,MEDIUM,30.0,1.0,1,97.733,0,0,32.0,0.4838709677419355,97.75566666666668,98.16799999999999,98.3014,-0.43499999999998806,29.0,0,2025,Pre-Season Testing
ALB,Williams,31.0,12.0,MEDIUM,31.0,1.0,1,97.831,0,0,31.0,0.5,97.80133333333333,97.8616,98.21770000000001,-0.030599999999992633,30.0,0,2025,Pre-Season Testing
ALB,Williams,32.0,12.0,MEDIUM,32.0,1.0,1,98.089,0,0,30.0,0.5161290322580645,97.88433333333334,97.8374,98.18199999999999,0.25159999999999627,31.0,0,2025,Pre-Season Testing
ALB,Williams,33.0,12.0,MEDIUM,33.0,1.0,1,98.36,0,0,29.0,0.532258064516129,98.09333333333332,97.97060000000002,98.1735,0.38939999999998065,32.0,0,2025,Pre-Season Testing
ALB,Williams,34.0,12.0,MEDIUM,34.0,1.0,1,98.286,0,0,28.0,0.5483870967741935,98.245,98.0598,98.13810000000001,0.22620000000000573,33.0,0,2025,Pre-Season Testing
ALB,Williams,35.0,12.0,MEDIUM,35.0,1.0,1,98.601,0,0,27.0,0.5645161290322581,98.41566666666665,98.2334,98.20070000000001,0.36759999999999593,34.0,0,2025,Pre-Season Testing
ALB,Williams,36.0,12.0,MEDIUM,36.0,1.0,1,98.579,0,0,26.0,0.5806451612903226,98.48866666666667,98.383,98.1223,0.19599999999999795,35.0,0,2025,Pre-Season Testing
ALB,Williams,37.0,12.0,MEDIUM,37.0,1.0,1,98.951,0,0,25.0,0.5967741935483871,98.71033333333332,98.55539999999999,98.19640000000001,0.39560000000000173,36.0,0,2025,Pre-Season Testing
ALB,Williams,38.0,11.0,MEDIUM,38.0,1.0,1,99.303,0,0,24.0,0.6129032258064516,98.94433333333332,98.744,98.3573,0.5589999999999975,37.0,0,2025,Pre-Season Testing
ALB,Williams,39.0,11.0,MEDIUM,39.0,1.0,1,98.886,0,0,23.0,0.6290322580645161,99.04666666666667,98.86399999999999,98.46189999999999,0.02200000000000557,38.0,0,2025,Pre-Season Testing
ALB,Williams,40.0,11.0,MEDIUM,40.0,1.0,1,98.624,0,0,22.0,0.6451612903225806,98.93766666666666,98.86859999999999,98.551,-0.24459999999999127,39.0,0,2025,Pre-Season Testing
ALB,Williams,41.0,11.0,MEDIUM,41.0,1.0,1,98.657,0,1,21.0,0.6612903225806451,98.72233333333334,98.88419999999999,98.6336,-0.2271999999999963,40.0,0,2025,Pre-Season Testing
ALB,Williams,44.0,19.0,SOFT,2.0,2.0,12,96.556,1,0,18.0,0.7096774193548387,97.94566666666667,98.4052,98.4803,-1.8491999999999962,1.0,1,2025,Pre-Season Testing
ALB,Williams,45.0,19.0,SOFT,3.0,2.0,1,95.961,0,0,17.0,0.7258064516129032,97.05799999999999,97.73679999999999,98.2404,-1.7757999999999896,2.0,1,2025,Pre-Season Testing
ALB,Williams,46.0,19.0,SOFT,4.0,2.0,1,96.606,0,0,16.0,0.7419354838709677,96.37433333333333,97.2808,98.07239999999999,-0.6748000000000047,3.0,1,2025,Pre-Season Testing
ALB,Williams,47.0,18.0,SOFT,5.0,2.0,1,98.313,0,0,15.0,0.7580645161290323,96.96,97.2186,98.0436,1.0944000000000074,4.0,1,2025,Pre-Season Testing
ALB,Williams,49.0,18.0,SOFT,7.0,2.0,1,98.154,0,0,13.0,0.7903225806451613,97.69099999999999,97.118,98.0011,1.0360000000000014,5.0,1,2025,Pre-Season Testing
ALB,Williams,50.0,18.0,SOFT,8.0,2.0,1,100.751,0,0,12.0,0.8064516129032258,99.07266666666668,97.95700000000001,98.18109999999999,2.793999999999997,6.0,1,2025,Pre-Season Testing
ALB,Williams,51.0,17.0,SOFT,9.0,2.0,1,98.346,0,0,11.0,0.8225806451612904,99.08366666666667,98.434,98.08539999999999,-0.08799999999999386,7.0,1,2025,Pre-Season Testing
ALB,Williams,52.0,16.0,SOFT,10.0,2.0,1,96.648,0,0,10.0,0.8387096774193549,98.58166666666666,98.44239999999999,97.8616,-1.794399999999996,8.0,1,2025,Pre-Season Testing
ALB,Williams,53.0,15.0,SOFT,11.0,2.0,1,95.882,0,0,9.0,0.8548387096774194,96.95866666666666,97.9562,97.5874,-2.0741999999999905,9.0,1,2025,Pre-Season Testing
ALB,Williams,54.0,15.0,SOFT,12.0,2.0,1,96.848,0,0,8.0,0.8709677419354839,96.45933333333333,97.69500000000001,97.40650000000001,-0.8470000000000084,10.0,1,2025,Pre-Season Testing
ALB,Williams,55.0,15.0,SOFT,13.0,2.0,1,98.183,0,0,7.0,0.8870967741935484,96.971,97.1814,97.5692,1.0016000000000105,11.0,1,2025,Pre-Season Testing
ALB,Williams,56.0,15.0,SOFT,14.0,2.0,1,96.706,0,0,6.0,0.9032258064516129,97.24566666666668,96.8534,97.6437,-0.14739999999999043,12.0,1,2025,Pre-Season Testing
ALB,Williams,57.0,15.0,SOFT,15.0,2.0,1,97.719,0,0,5.0,0.9193548387096774,97.536,97.0676,97.755,0.6513999999999953,13.0,1,2025,Pre-Season Testing
ALB,Williams,58.0,14.0,SOFT,16.0,2.0,1,96.822,0,0,4.0,0.9354838709677419,97.08233333333334,97.2556,97.60589999999999,-0.43359999999999843,14.0,1,2025,Pre-Season Testing
ALB,Williams,59.0,14.0,SOFT,17.0,2.0,1,95.792,0,0,3.0,0.9516129032258065,96.77766666666666,97.0444,97.3697,-1.2523999999999944,15.0,1,2025,Pre-Season Testing
ALB,Williams,60.0,14.0,SOFT,18.0,2.0,1,95.648,0,0,2.0,0.967741935483871,96.08733333333333,96.5374,96.85940000000001,-0.8894000000000091,16.0,1,2025,Pre-Season Testing
ALB,Williams,61.0,14.0,SOFT,19.0,2.0,1,95.893,0,0,1.0,0.9838709677419355,95.77766666666666,96.37480000000001,96.61410000000001,-0.4818000000000069,17.0,1,2025,Pre-Season Testing
ALO,Aston Martin,2.0,9.0,SOFT,5.0,1.0,1,101.359,0,0,60.0,0.03225806451612903,101.359,101.359,101.359,0.0,1.0,0,2025,Pre-Season Testing
ALO,Aston Martin,3.0,8.0,SOFT,6.0,1.0,1,98.983,0,0,59.0,0.04838709677419355,100.17099999999999,100.17099999999999,100.17099999999999,-1.1879999999999882,2.0,0,2025,Pre-Season Testing
ALO,Aston Martin,4.0,8.0,SOFT,7.0,1.0,1,99.281,0,0,58.0,0.06451612903225806,99.87433333333333,99.87433333333333,99.87433333333333,-0.5933333333333195,3.0,0,2025,Pre-Season Testing
ALO,Aston Martin,5.0,8.0,SOFT,8.0,1.0,1,98.617,0,0,57.0,0.08064516129032258,98.96033333333334,99.56,99.56,-0.9429999999999978,4.0,0,2025,Pre-Season Testing
ALO,Aston Martin,6.0,8.0,SOFT,9.0,1.0,1,98.403,0,0,56.0,0.0967741935483871,98.76700000000001,99.32860000000001,99.32860000000001,-0.9256000000000029,5.0,0,2025,Pre-Season Testing
ALO,Aston Martin,7.0,8.0,SOFT,10.0,1.0,12,98.371,0,0,55.0,0.11290322580645161,98.46366666666667,98.73100000000001,99.169,-0.36000000000001364,6.0,0,2025,Pre-Season Testing
ALO,Aston Martin,8.0,8.0,SOFT,11.0,1.0,1,98.523,0,0,54.0,0.12903225806451613,98.43233333333335,98.63900000000001,99.07671428571429,-0.11600000000001387,7.0,0,2025,Pre-Season Testing
ALO,Aston Martin,9.0,8.0,SOFT,12.0,1.0,1,98.36,0,0,53.0,0.14516129032258066,98.41799999999999,98.4548,98.987125,-0.09480000000000643,8.0,0,2025,Pre-Season Testing
ALO,Aston Martin,10.0,8.0,SOFT,13.0,1.0,1,98.275,0,0,52.0,0.16129032258064516,98.38600000000001,98.38640000000001,98.908,-0.11140000000000327,9.0,0,2025,Pre-Season Testing
ALO,Aston Martin,11.0,8.0,SOFT,14.0,1.0,1,98.325,0,0,51.0,0.1774193548387097,98.32000000000001,98.3708,98.84970000000001,-0.04579999999999984,10.0,0,2025,Pre-Season Testing
ALO,Aston Martin,12.0,8.0,SOFT,15.0,1.0,1,98.42,0,0,50.0,0.1935483870967742,98.33999999999999,98.3806,98.5558,0.039400000000000546,11.0,0,2025,Pre-Season Testing
ALO,Aston Martin,13.0,8.0,SOFT,16.0,1.0,1,98.431,0,0,49.0,0.20967741935483872,98.39200000000001,98.3622,98.5006,0.06879999999999598,12.0,0,2025,Pre-Season Testing
